tipo,pregunta
humor,yo nunca me he olfateado la axila en publico
sexual,yo nunca me he exibido en webcam
amor,yo nunca me he liado con mas de una persona del mismo grupo de amigos
sexual,yo nunca he practicado sexo oral en la primera cita
humor,yo nunca he bebido en el colegio o instituto
amor,yo nunca he cambiado el nombre de un contacto para esconder quien era
sexual,yo nunca he olido mis bragas despues de quitarmelas
sexual,yo nunca me he masturbado con alguien en la habitacion sin que se entere
amor,a mi nunca me han puesto los cuernos
humor,yo nunca he fumado hierba
sexual,yo nunca me he excitado pensando en alguno de los presentes
humor,yo nunca he intentado ligar en otro idioma
sexual,yo nunca he practicado en una orgia
sexual,yo nunca he hecho/me han hecho un chupeton
humor,yo nunca he roto unos pantalones por la entrepierna
sexual,yo nunca he practicado sexo en la cocina
amor,yo nunca he besado que acababa de conocer
sexual,yo nunca he hecho una mamada mientras mi pareja
amor,yo nunca he tenido una relacion abierta
humor,yo nunca he sido multado por mear en la calle
sexual,yo nunca he practicado sexo en un barco
sexual,yo nunca he practicado sexo con mas de 5 personas en mi vida
sexual,yo nunca he pagado por sexo
sexual,yo nunca me han dicho que la tengo pequeña
humor,yo nunca he sido el ultimo en salir de la discoteca
humor,yo nunca he cagado en la playa
sexual,yo nunca me he hecho una prueba de embarazo
humor,yo nunca me he emborrachado con mis padres
sexual,yo nunca he visto a alguien teniendo sexo en un coche
sexual,yo nunca me he masturbado en grupo
humor,yo nunca me han pillado mis padres fumando
humor,yo nunca he hecho un concurso de eructos
humor,yo nunca me he tirado un pedo y le he echado la culpa a otro
sexual,yo nunca he hecho un 69
humor,yo nunca me he despertado sin saber donde estaba
sexual,yo nunca he tomado droga para tener sexo
amor,yo nunca he mentido sobre alguna experiencia sexual
amor,yo nunca he tenido relaciones con un padre o madre
sexual,yo nunca he practicado sexo con una persona aqui presente
humor,yo nunca he pensado en matar a alguien
sexual,yo nunca me he masturba en el tuto
sexual,yo nunca he pensado que mis tetas son perfectas
humor,yo nunca he mentido jugando al yo nunca
humor,yo nunca lo he robado el paquete de tabaco a un colega
amor,yo nunca he tenido una relacion de mas de dos años
humor,yo nunca me he meado encima en los ultimos 5 años
sexual,yo nunca me he masturbado con el movil como vibrador
sexual,yo nunca he atado a mi pareja teniendo sexo
sexual,yo nunca he pensado en como seria probar la regla
humor,yo nunca me han pillado mis padres borracho
sexual,yo nunca me he tomado la pastilla del dia de despues
sexual,yo nunca he entrado a un club de striptease
humor,yo nunca he fingido estar malo para no ir al tuto
amor,yo nunca he utilizado una app para ligar
sexual,yo nunca he acabado follando y no me lo esperaba
sexual,yo nunca he pensado que el tamaño importa
humor,yo nunca he llevado una faja
sexual,yo nunca he intentado hacer posturas extrañas del Kama Sutra
amor,yo nunca he stalkeado a alguien aqui presente
humor,yo nunca he mentido sobre mi nota en un examen
humor,yo nunca he borrado el historial del navegador para ocultar algo
humor,yo nunca me he tirado un pedo en la piscina
humor,yo nunca he hecho un concurso de chupitos
humor,yo nunca he querido ser del sexo opuesto
humor,yo nunca he olvidado algo de la noche anterior por el alcohol
humor,yo nunca me he caido al suelo por la calle
sexual,yo nunca me he metido el dedo por el culo
humor,yo nunca me he tirado un pedo silencioso
humor,yo nunca me he rascado el culo y me he olido los dedos
sexual,yo nunca he hecho topless en la playa
humor,yo nunca me he olvidado de que habia quedado con alguien
humor,yo nunca no he podido beber porque tenia que estudiar al dia siguiente
sexual,yo nunca he visto porno con colegas
sexual,yo nunca me he cortado depilandome las partes intimas
sexual,yo nunca he utilizado algun juguete sexual
humor,yo nunca he sido multado por ir borracho
amor,yo nunca me he liado con alguien que tuviera pareja
amor,yo nunca me he liado con la misma persona que un amig@
humor,yo nunca he falsificado una firma
sexual,yo nunca he practicado sexo oral con alguien del mismo sexo
sexual,yo nunca me he duchado con alguien
amor,yo nunca he llamado a alguien por otro nombre durante el sexo
sexual,a mi nunca me han masturbado o he masturbado con los pies
humor,yo nunca he dejado caer mi móvil al WC
amor,y nunca he vuelto con mi ex
humor,y nunca he dicho que me encantaba un regalo y después lo he devuelto
humor,y nunca he fingido amar un grupo de música cuando solo me se el nombre
amor,y nunca he escrito a mi ex una noche de fiesta
amor,y nunca he stalkeado el instagram del el/la ex de mi novi@
humor,y nunca he abierto a la policía por haber hecho un fiestón en casa
humor,y nunca me he imaginado siendo del sexo opuesto
humor,yo nunca he llamado mamá a mi profesora
humor,yo nunca he perdido un iPhone
humor,yo nunca he pesado la fruta le he pegado el ticket y luego he metido más
humor,yo nunca he mirado el papel después de ir al baño
sexual,yo nunca he pillado a un familiar masturbándose
sexual,yo nunca lo he hecho en el probador de una tienda
sexual,yo nunca lo he hecho en una moto
sexual,yo nunca me he sentido atraído por un familiar
humor,yo nunca he sido pillado fumado al llegar a casa
humor,yo nunca he estado esposado
humor,yo nunca he sido detenido por la policía
humor,yo nunca he robado algo de más de 100 euros
sexual,yo nunca he tenido sexo con alguien que acababa de conocer
sexual,yo nunca me he masturbado con un objeto extraño
sexual,yo nunca me he masturbado fuera de casa
humor,yo nunca he hablado por Whatsapp con un amigo mientras estaba en el lavabo
sexual,yo nunca me he sentido atraído por una persona mayor de 40
humor,yo nunca he robado copas de una discoteca
humor,yo nunca he hablado mal de una persona de este grupo
sexual,yo nunca he tenido más de tres orgasmos en un día
amor,yo nunca he sido infiel
humor,yo nunca he perdido el conocimiento después de beber
humor,yo nunca me he tropezado por mirar el móvil
amor,yo nunca he mentido a mis amigos
amor,yo nunca he mentido a mi pareja
sexual,yo nunca he hecho un baile erótico
sexual,yo nunca he recibido un baile erótico
humor,yo nunca he fumado en un bong
amor,yo nunca me he liado con una persona casada
humor,yo nunca me he vestido con ropa del sexo opuesto
sexual,yo nunca he usado lubricante sexual
sexual,yo nunca he roto la cama durante el sexo
sexual,yo nunca he probado más de 5 posturas durante el sexo
humor,yo nunca me he emborrachado por la mañana
sexual,yo nunca he probado el cibersexo
sexual,yo nunca he jugado a ser otra persona durante el sexo
sexual,yo nunca he hecho cosas indecentes en el cine
humor,yo nunca he llorado por una película
sexual,yo nunca he hecho juegos de bondage
humor,yo nunca he pasado la noche en el cuartelillo
sexual,yo nunca he jugado al streap poker
sexual,yo nunca me he acostado con dos personas el mismo día
sexual,yo nunca he fingido dormir para no tener sexo
sexual,yo nunca he tenido un fetiche extraño
